0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,embedding
-1.727747,-0.94160324,-1.035934,-0.07804745,0.07961311,0.9466387,0.56512856,0.5268627,-1.2398233,-1.4996871,0.30341524,1.6208321,1.283513,-0.28447497,-0.3106223,-0.6412423,0.36553586,-0.42768076,1.046385,0.251367,-0.87255746,-1.4651234,-0.83659935,0.8841551,0.28706598,0.14441518,-0.37075478,0.14053056,-0.5586781,-1.173332,-1.3682477,0.3019251,-0.13856658,0.7599474,1.42149,-0.3136172,0.40975973,2.0802062,1.1117916,0.78535527,-0.47736126,-0.3351759,0.7720088,-0.9596454,0.12448528,0.13224293,0.66248673,0.6448674,0.7631736,0.79566973,0.2306371,-0.39295992,-0.6254238,-0.21942927,-1.5935519,-0.9575547,0.99716467,-0.8378239,1.0679921,-0.29506308,0.4631425,0.70297885,-0.7529875,-1.0399122,-1.2404599,-0.15284213,1.2060716,0.39646024,0.3802109,0.96535665,-0.60641193,0.9853348,-0.6964663,-0.15682437,-1.7435018,-0.6905502,-0.06774365,-0.75681406,-1.2366899,-0.19832762,1.6044576,-1.9166024,-1.9537,-0.7852164,-0.7672956,-0.4380052,0.78572816,1.3643622,-0.27281398,0.17016289,0.74060327,0.37388703,-1.304203,-0.7488793,0.0038433943,0.83842903,1.2231919,0.4362946,0.5565601,0.7430624,P
-0.42177075,1.3387609,0.19307777,-0.057923432,-0.62215114,0.32312104,-1.457007,-0.34688413,-0.1842828,-0.008881218,-1.3742467,0.9731138,1.4734008,0.069059476,0.22105666,-0.5048166,1.0015975,0.57988405,-0.59763396,0.5647069,0.64814776,1.129042,-0.22038291,1.5727609,-0.04190014,0.69402426,0.16863208,1.9129668,-1.1715534,0.90878356,0.3327707,0.6003166,-0.8289456,-0.10473125,1.0478112,1.1646197,-1.5446074,-0.16167325,0.6823485,-0.97124887,-1.7095957,0.76285374,0.30593768,0.6645988,0.69361895,0.5140149,-0.6015598,0.2999709,0.15450333,-0.30951202,0.055500682,-1.2266897,1.3507881,-0.75078267,0.038089093,-1.2096564,0.049072243,-0.72834647,-0.8916947,0.6392678,0.35821024,-1.4935452,-0.63724226,0.4905574,-0.7771827,0.9023733,0.45954886,-0.17953679,-0.44126317,0.06095102,0.99013597,-0.08175819,0.15434599,0.8829536,-0.060497146,0.16077603,-0.38605744,0.8540507,-0.32222274,0.33744594,-0.053536117,-1.4114863,0.79083276,-0.4851516,1.5026617,-0.26104307,-0.34761223,-1.3541272,-1.4203621,0.44155377,1.0551928,1.2275878,-1.9147578,0.6701191,0.7193105,-0.3914573,-0.5073904,-1.0792838,-1.1030487,-0.12630014,Q
-1.3772454,0.27028346,-0.06305979,0.012668255,0.15456185,-0.13227484,0.084784254,2.0452502,-0.59603703,-1.1715391,0.31776452,0.25936788,-1.1856171,0.089683615,-0.92598957,-0.085503116,-0.5908319,-0.2730148,0.6603859,1.5854039,1.8055981,-0.9689603,-0.24844489,-1.6002338,1.0495112,-0.8029439,-0.7471045,-0.53472185,0.23010133,1.1838086,0.46758345,0.7274779,-1.4534538,0.7542977,0.7469584,-1.1244348,-0.7004995,-0.37165877,0.10681825,0.4378906,-0.5586514,0.76527685,-1.8068001,0.6422325,-0.33310643,-0.7160478,0.8719266,-0.4841245,0.4854258,1.1446834,-0.23063545,0.1048846,-0.7582769,0.8703276,-0.60902005,0.24486081,1.7353462,-0.8579101,-0.5114508,-0.19619307,-1.079158,-0.0010649263,-0.9016394,0.7320344,-0.6301969,1.0776374,0.5335307,-0.41313735,1.0406957,-1.2534907,0.6683892,-0.19768454,0.024208697,0.29409495,0.25793153,-1.0363985,-1.2399204,0.17414494,0.56647575,-0.769286,-2.16918,0.20852472,0.98496485,-0.65053964,-0.06440931,0.4489861,0.8584597,-0.58795893,0.30071935,-0.20832132,-0.1157385,-0.6365747,0.33486107,1.3978177,-1.3911196,1.0516536,1.5392245,-0.20527275,1.2929099,1.076827,I
2.1286197,-0.5576172,-0.3113134,0.2148592,1.1443958,-0.47463906,0.19615498,-0.82111037,-0.38546982,-1.6348448,-0.29373747,-0.55236083,0.09949171,-1.9739139,1.089082,-0.3490682,0.20036761,-1.2156471,0.8344396,-1.2602721,0.20885111,-0.987918,-0.43144593,-0.26415378,-0.22793195,0.88028765,0.062016714,-0.6795996,-0.4451154,0.9305766,-0.17950214,0.038375363,0.15895088,-0.97863144,0.1438979,0.50280356,-1.3793122,1.0509485,0.6207179,0.69336766,0.95495933,0.36935207,0.44213018,-0.5502474,0.5560085,1.442504,1.2091714,0.11217635,-0.2742433,-0.23168758,-0.16850372,-0.43840098,1.2877321,-0.2013784,1.7298801,0.06425506,-0.33538747,-1.7873095,0.65975505,0.8056204,0.9532302,0.5465955,-0.6415858,-0.5963458,-0.28922027,0.15683664,-0.77896684,-0.22666563,1.831371,-1.2703458,-1.6723214,-1.0501448,0.17823188,0.2285563,-0.4477239,0.35707325,0.9918819,0.38979158,-0.09879871,-0.4862934,0.3181778,-0.8084703,-0.36903492,-0.027182166,-0.82409865,1.3875841,-1.1826434,-0.43319827,-1.611707,-0.31662837,-0.522653,-1.0272021,-1.0796655,0.8991333,-0.7752034,0.39882955,-0.98471045,1.8491178,-1.3641269,0.4830428,T
-1.0121975,0.8380361,0.4627527,0.08502987,-0.01724201,-1.0418825,-1.0825741,-0.4224132,0.10756897,0.8428708,0.90675294,-0.811963,0.9018193,0.72357404,-0.25323504,-1.5843291,0.674077,-0.26482263,0.3519988,1.4252802,-0.40961328,-0.3648686,1.2385795,0.8528708,-0.22343,-0.74664545,0.082177855,0.39053518,-0.5150691,0.6083369,1.7267604,1.325713,0.3523097,-0.61286724,0.15482537,1.7583302,0.064114496,-0.2189073,1.3356643,0.71662205,-0.57931006,2.0509796,1.0308789,0.4406182,1.6391116,1.4282491,-1.6889026,0.4800334,1.3791171,1.1287987,-0.30530027,-0.25549302,2.2309022,-1.5966434,-1.4321421,-2.1129766,0.8332384,1.5783637,0.50474715,-0.7737191,-0.6038779,-0.84814477,1.4695531,0.44633928,0.11437854,-0.44487977,-0.30297586,1.1058124,1.6946608,-0.47446823,1.0788558,-0.2433506,0.1090981,-0.95316285,1.2967252,-0.40796408,-1.0036573,-0.16009414,1.0249068,0.82126164,0.12059446,0.028999884,0.18890472,1.8725072,0.4806081,-0.2770475,-0.7433764,-0.057083506,0.40398017,0.33371717,-0.5219989,1.2121255,1.6552563,-0.7593929,-1.7340132,-0.7025682,0.88340473,0.547967,0.1258166,-2.571269,L
-0.18153752,-1.1518497,-0.5579169,-0.51599354,-0.6746231,-0.2694485,-0.47820988,-0.39562058,0.4290693,-1.092625,-1.7444707,0.0891051,-0.76601154,-0.2129015,0.89105564,1.6746808,0.60663474,0.3853156,1.0158256,1.6344706,0.611923,-1.1567743,-2.5313401,-0.6740366,-0.84523815,-0.025385063,0.13799533,0.1743739,0.55498385,-0.80023867,-1.9440075,0.57876056,1.8910918,-0.02638982,-0.11638732,0.99845076,0.78967,0.7232073,1.2433243,0.32196814,1.3238592,1.2432002,-1.1250502,1.5951837,0.6498125,1.5831958,0.47275198,0.5013738,1.9848635,0.7868054,0.34831047,1.0314963,0.55514276,-0.93674064,-0.13174576,0.14168105,1.5528032,-0.044525705,-0.2617924,0.653734,-0.7378349,0.71710795,-0.81451446,-0.9886233,0.31053796,-0.059793998,-0.16368385,-1.0083474,0.73882556,0.61593366,0.34583732,0.39031425,-0.54452246,0.6600169,1.0496417,0.6334459,0.9990367,-0.3474888,0.86060727,1.6289321,1.3310616,0.2392372,0.799149,0.50752664,0.45683742,0.6463992,-0.3478973,-0.32110816,1.2377867,-0.7185997,0.74772173,1.3285452,-0.10990165,-1.4432098,-0.9268182,-0.28698507,-0.3059701,0.56117,1.0246038,-0.44930995,W
0.033671275,-0.10921646,0.41937113,-0.99079,-0.24703497,0.53780454,-1.46792,0.2215709,0.98204046,1.3408885,-0.79038143,-0.53371435,-1.0742882,0.5579432,-1.2992932,-0.8292203,0.96421957,-1.321179,-0.5197482,-1.2204342,0.94284105,-0.2762128,0.19382082,-1.6250588,0.053899042,-1.0420789,0.85656977,0.80725455,-2.02048,0.45612296,1.0659825,2.4258158,0.5223913,0.3160546,-0.16031966,0.17531398,0.2845621,-0.91543007,0.025674863,-0.907156,-0.043550834,-0.6039146,-0.34520605,-0.2980537,-0.5288862,-1.0266426,0.42179826,0.774677,-1.2840118,0.73755145,-1.0006676,1.0256219,1.1086911,0.21502991,-0.022750212,0.06829428,-0.4047321,-0.41772455,-0.24285276,-0.5760527,-0.111380145,0.40804663,2.5623872,1.114777,-0.14021972,0.7044084,-0.25569758,-0.4557291,0.5848169,-0.11510521,0.3471607,1.7166921,-0.9095153,-0.23644246,1.7081127,-0.90691453,-1.1906894,0.8528368,-0.5930986,1.3003244,0.1686501,1.4045974,-0.24902345,0.8951358,-0.2572133,1.0053264,0.4129377,-0.5808,-0.66758054,0.5014517,0.12369994,-0.6640095,-0.9344045,1.855975,-1.283797,0.05147546,-0.08229682,0.40199056,1.365113,-0.64976645,R
-0.08159034,0.007607819,-0.45034507,-0.01227685,-1.386116,-0.7046022,0.047406234,0.8003429,0.82186306,0.88975906,0.9636578,-0.22442217,-1.4150097,-0.92774665,0.47638908,0.63749063,0.7031896,-0.017104411,1.1533049,-0.23573744,-1.1049258,0.2636874,2.1438048,0.86047393,-0.5442897,2.1025808,-0.51550305,-0.6856981,-0.6881241,-1.2550393,-0.036606703,0.706479,-1.1058882,0.5481768,0.11299871,-1.4988548,-0.30664667,-0.44288275,-0.5470317,0.9088934,0.7502602,0.5977442,-0.7393855,-0.28652525,-0.14384615,-0.17253365,-1.2288171,0.44554642,-0.2319894,1.626853,0.2576335,0.34903774,-0.73135525,1.0503091,-0.22317503,1.7407812,0.6732454,0.8566791,0.26378867,-0.7417017,0.5277931,0.17668563,0.68141603,-0.9748991,0.02425705,-0.9578762,-0.1688331,1.1321838,0.18525293,0.46303535,0.44437245,-1.2368866,0.33016753,-0.25693786,0.19580828,-0.02948586,1.8468214,0.17349179,0.52452344,-0.7863437,0.53608376,1.4275316,0.97088087,-0.04822482,1.0615511,-1.3597137,-0.6456001,0.98532283,1.4311277,2.2382126,-0.6932165,-0.3055909,-0.5650804,0.024779012,0.9231315,1.790257,0.7253452,-0.10012007,0.7185621,-1.6286118,V
0.10574816,-1.4301645,0.31055692,0.017741123,0.26597917,-0.5268767,1.1594094,-1.676917,-0.7555786,-1.3187864,0.25037193,1.283712,0.22579862,0.19557448,-1.4410647,-0.6731158,1.8922023,-0.22424145,0.4444205,0.95230055,-0.08145679,-0.20301716,0.18980952,-0.30800077,-1.1821097,1.0052466,2.3352435,-0.12521662,0.445741,-2.1233933,-1.2451614,-0.1777971,1.0594465,-0.100602195,-1.1086832,2.219884,0.9049316,1.1360741,-0.08649465,1.2682945,0.64556396,-0.085324846,-0.5225728,-0.14579917,1.873723,1.6963142,-0.04672293,0.13253634,-0.56025857,0.8893758,-0.10973354,0.10333654,0.8301278,0.7366479,-0.14097688,0.7344876,0.58707196,-0.012078075,0.13094853,1.496076,0.11035835,0.12390937,0.058235884,1.6934297,1.1046565,-0.6085698,0.14919278,0.37331176,-0.5005759,-0.05009844,0.8756171,-0.49709386,0.7080492,-0.43183422,-0.31340933,0.26947123,1.1854165,0.029699499,0.15845305,0.17708366,1.4235545,0.43394917,-0.4475521,0.122878775,-0.12855966,1.4129194,0.5834281,1.1612456,0.48245502,-1.1136796,-0.04722502,-1.2843643,-0.28709757,1.1041422,-1.9207497,0.06677339,0.2062562,0.48543125,1.4618742,0.4723809,K
-1.5600921,-0.7022951,0.53063595,1.8159933,0.35226414,0.25228024,0.07464762,-0.3347723,3.0645912,-1.6016024,-0.6659531,-0.8695183,0.464676,0.9809571,1.2360795,1.0054189,-0.54335,2.6302376,1.0875981,0.66769946,-0.5665688,1.1653599,-0.10316925,1.9732442,-0.39879858,-0.09732712,0.80925834,-1.3419744,0.23327428,-0.1251297,0.6383074,-2.7806067,-0.8721525,1.9296534,-0.90360546,0.6983821,0.18161927,0.86280143,0.6548641,-0.7570418,-1.7851168,1.1447672,-1.7602787,2.7249436,0.29358506,-0.19624339,-0.23112375,1.3594898,1.0278655,1.3215742,1.6857946,0.8125446,0.9340963,-1.9269711,0.25016367,0.61249566,0.24195957,1.435415,0.5783651,0.28868482,-1.2527658,-2.1511467,-1.3619955,1.3413465,1.030884,-0.60820824,0.44010645,0.6106422,-0.0035330812,0.36345524,0.58587486,1.2659272,-1.1241729,-2.8678277,0.69450474,0.39858404,0.4464973,-0.7219506,-1.9299015,-1.0001695,-1.2635256,0.59788954,-1.4797295,0.4703756,0.4919978,1.2253747,-0.5215447,0.496808,-0.38569078,0.7108657,1.3570691,-0.50681746,-0.76825005,0.29127178,-0.52960515,-0.24565306,0.60613465,0.2537952,-0.7190926,0.63370883,G
